Product Name,URL,Price,Rating,Review Count
DailyObjects Field Backpack | Casual Laptop Bag with Luggage Sleeve | Unisex Travel Backpack | Made of Durable Canvas Material | Zippered Compartments with Pockets,,"₹3,324.05",,
"DailyObjects 9 to 9 Everyday Casual Laptop Backpack Compatible with upto 15"" Laptop | Unisex Shoulder Travel Bag | Durable Canvas Material | Zippered Compartment with Slip Pockets | Trolley Sleeve",,"₹2,880",3.4 out of 5 stars,
"Skybags Casual Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Strap",,₹479,4.1 out of 5 stars,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",,₹699,4.4 out of 5 stars,
"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men",,₹729,4.0 out of 5 stars,
Safari Small Size 15 Ltrs Unisex Standard Backpack - Sea Blue,,₹215,4.0 out of 5 stars,
Impulse EmpowerElite 25L Unisex Water Resistant Travel Laptop Backpack with USB Charging Port/Office Bag/School Bag/College Bag/Business Bag Fits Up to 16 Inch Laptop with 1 Year Warranty (Blue),,₹565,3.9 out of 5 stars,
Impulse EmpowerElite 25L Unisex Water Resistant Travel Laptop Backpack with USB Charging Port/Office Bag/School Bag/College Bag/Business Bag Fits Up to 16 Inch Laptop with 1 Year Warranty (Blue),,₹565,3.9 out of 5 stars,
BIGBERRY Newage Rodeo 28 Ltrs leatherite/faux leather Backpack with Multiple Compartments & organiser,,₹899,4.1 out of 5 stars,
Fargo Leatherette Side White Sling Bags For Women's Ladies,,₹99,3.0 out of 5 stars,
"Safari Surge 30 Ltrs Water Resistant Polyester Laptop Bag For Men and Women, Backpack For Men and Women, College Bag For Men and Women",,₹778,4.3 out of 5 stars,
"Artistix Alpine Business Class Series Medium Size Anti Theft Laptop Backpack (32 Litre, 15.6 Inch) (Black)",,"₹1,783",4.4 out of 5 stars,
Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops),,₹397,4.2 out of 5 stars,
Gear Vintage2 28L Medium Faux Leather Water Resistant Anti Theft Laptop Backpack/Office Backpack for Men/Women (Tan),,₹900,4.3 out of 5 stars,
M MEDLER Aquiver Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag (Beige),,₹499,3.4 out of 5 stars,
"Craftwood School Backpack for Teen Girls, Boys Waterproof High School Backpack for Student Bookbag College Backpack for Women Men Casual Daypack Travel Aesthetic Backpacks Black",,₹699,3.1 out of 5 stars,
"Safari Casual backpacks 2 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men, Ideal for school, college, office & travel",,₹639,3.8 out of 5 stars,
"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men",,₹699,4.0 out of 5 stars,
Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,,₹159,4.2 out of 5 stars,
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,,₹739,3.9 out of 5 stars,
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,"₹1,499",4.0 out of 5 stars,
Arctic Hunter Backpack for Men 20L Heavy Duty Premium Business Laptop Backpack 1680D Polyester Anti-theft 15.6-inch Laptop Bag Water/Scratch-resistant Multiple Pockets Padded Bag for Office Travel,,"₹5,699",4.5 out of 5 stars,
